project_budget,client_rating,num_existing_proposals,freelancer_experience,proposal_quality_score,project_category,client_location,project_duration,freelancer_country,freelancer_rating,previous_jobs_completed,budget_per_proposal,project_category_encoded,client_location_encoded,freelancer_country_encoded,client_rating_category_encoded,experience_level_encoded,experience_quality_interaction,combined_experience_rating,success
22799.0,3.5,62.0,0,6.0,Web Development,USA,12.0,Bangladesh,2.3,132,361.8888888888889,4,9,1,2,0,0.0,40.52,0
74910.125,1.2,68.0,3,5.0,Data Science,Germany,60.0,USA,2.4,190,1085.6539855072465,0,4,8,1,2,15.0,58.86,0
44189.0,3.6,52.0,6,5.0,Data Science,France,44.0,Ukraine,2.0,123,833.7547169811321,0,3,9,0,3,30.0,39.5,0
43057.0,4.9,53.0,13,9.0,Data Science,Germany,22.0,Philippines,2.7,430,797.3518518518518,0,4,6,0,1,117.0,133.98,1
49580.0,1.3,41.0,12,6.0,Marketing,Brazil,6.0,Australia,2.9,217,1180.4761904761904,2,1,0,1,1,72.0,69.86,0
44520.0,3.2,44.0,9,7.0,Design,UK,27.0,Pakistan,3.1,364,989.3333333333334,1,8,5,2,3,63.0,113.14,0
3193.0,4.0,89.0,17,4.0,Marketing,Singapore,55.0,Bangladesh,4.9,402,35.477777777777774,2,6,1,0,1,68.0,127.66,0
29967.0,4.2,13.0,0,1.0,Design,Canada,15.0,UK,4.6,482,2140.5,1,2,7,0,0,0.0,146.44,0
30223.0,2.7,28.0,3,5.0,Marketing,Germany,64.0,Australia,3.4,321,1042.1724137931035,2,4,0,2,2,15.0,98.56,0
47199.0,1.8,5.0,15,2.0,Mobile App,Germany,17.0,Ukraine,1.2,300,7866.5,3,4,9,1,1,30.0,94.98,1
4127.0,1.2,6.0,15,8.0,Design,UAE,3.0,Australia,3.4,70,589.5714285714286,1,7,0,1,1,120.0,26.86,0
26439.0,3.3,36.0,17,4.0,Writing,Australia,10.0,Bangladesh,1.4,456,714.5675675675676,5,0,1,2,1,68.0,142.45999999999998,0
49425.0,2.8,52.0,7,1.0,Writing,Germany,63.0,Australia,3.8,213,932.5471698113207,5,4,0,2,3,7.0,67.52,1
43441.0,4.8,17.0,9,7.0,Data Science,USA,63.0,Australia,2.6,361,2413.3888888888887,0,9,0,0,3,63.0,112.03999999999999,1
22334.0,1.2,86.0,15,2.0,Marketing,Singapore,89.0,Bangladesh,4.4,32,256.71264367816093,2,6,1,1,1,30.0,15.86,0
18547.0,3.7,37.0,10,5.0,Web Development,Singapore,62.0,Nigeria,4.8,373,488.07894736842104,4,6,4,0,3,50.0,116.82,1
26605.0,1.1,58.0,5,9.0,Data Science,France,85.0,UK,2.7,335,450.93220338983053,0,3,7,1,2,45.0,103.08,0
10730.0,1.7,0.0,0,9.0,Web Development,USA,9.0,Philippines,2.8,170,10730.0,4,9,6,1,0,0.0,52.12,1
16207.0,2.8,67.0,11,2.0,Marketing,Canada,24.0,Canada,3.4,343,238.33823529411765,2,2,2,2,1,22.0,107.55999999999999,0
22476.0,2.8,43.0,5,3.0,Data Science,India,32.0,Australia,1.8,455,510.8181818181818,0,5,0,2,2,15.0,138.72,0
44762.0,3.7,46.0,12,9.0,Data Science,Australia,3.0,USA,4.7,349,952.3829787234042,0,0,8,0,1,108.0,110.18,1
24276.0,4.6,34.0,16,1.0,Writing,India,33.0,Canada,2.7,409,693.6,5,5,2,0,1,16.0,128.57999999999998,0
30580.0,3.6,86.0,0,2.0,Web Development,France,43.0,UK,1.7,300,351.4942528735632,4,3,7,0,0,0.0,90.68,1
1806.0,4.8,90.0,7,2.0,Mobile App,Singapore,12.0,Bangladesh,4.1,495,19.846153846153847,3,6,1,0,3,14.0,152.24,1
7276.0,4.5,59.0,7,3.0,Mobile App,USA,85.0,Philippines,1.9,290,121.26666666666667,3,9,6,0,3,21.0,89.86,0
27751.0,3.0,89.0,10,3.0,Data Science,India,32.0,Pakistan,1.6,236,308.34444444444443,0,5,5,2,3,30.0,74.44,1
9974.0,4.3,51.0,13,2.0,Marketing,Canada,20.0,USA,3.3,336,191.80769230769232,2,2,8,0,1,26.0,106.02,0
40794.0,3.6,7.0,9,8.0,Data Science,Canada,67.0,Ukraine,3.7,436,5099.25,0,2,9,0,3,72.0,134.98,1
22459.0,1.3,79.0,14,8.0,Writing,UK,68.0,Nigeria,3.3,101,280.7375,5,8,4,1,1,112.0,35.82,0
6030.0,4.0,40.0,6,8.0,Web Development,Germany,17.0,USA,3.6,9,147.0731707317073,4,4,8,0,3,48.0,5.9399999999999995,0
29820.0,1.4,2.0,6,2.0,Data Science,Germany,81.0,India,1.5,40,9940.0,0,4,3,1,3,12.0,14.4,0
4248.0,3.4,95.0,9,9.0,Marketing,Canada,19.0,Philippines,2.9,369,44.25,2,2,6,2,3,81.0,114.56,1
32468.0,3.8,68.0,3,7.0,Mobile App,USA,4.0,UK,2.4,125,470.5507246376812,3,9,7,0,2,21.0,39.36,0
33062.0,1.3,83.0,17,5.0,Web Development,France,17.0,Pakistan,4.9,272,393.5952380952381,4,3,5,1,1,85.0,88.66,1
14045.0,1.9,13.0,9,7.0,Data Science,UK,64.0,Ukraine,1.2,382,1003.2142857142857,0,8,9,1,3,63.0,117.78,0
1163.0,4.7,95.0,18,8.0,Web Development,UAE,22.0,Ukraine,2.2,326,12.114583333333334,4,7,9,0,1,144.0,104.08,0
35266.0,3.5,25.0,13,9.0,Writing,Canada,66.0,Bangladesh,4.8,449,1356.3846153846155,5,2,1,2,1,117.0,140.51999999999998,0
8494.0,2.0,69.0,12,2.0,Mobile App,USA,42.0,Bangladesh,4.9,10,121.34285714285714,3,9,1,1,1,24.0,8.559999999999999,0
28521.0,3.8,57.0,14,6.0,Marketing,Brazil,76.0,Ukraine,4.3,318,491.7413793103448,2,1,9,0,1,84.0,101.32,1
