project_budget,client_rating,num_existing_proposals,freelancer_experience,proposal_quality_score,project_category,client_location,project_duration,freelancer_country,freelancer_rating,previous_jobs_completed,success,budget_per_proposal,client_rating_category,experience_level
26158.0,2.4,88.0,18,7.0,Mobile App,UK,61.0,USA,4.9,428,1,293.91011235955057,Medium,Expert
19442.0,3.7,90.0,19,5.0,Marketing,Singapore,19.0,Nigeria,2.7,467,1,213.64835164835165,High,Expert
18931.0,4.0,57.0,13,,Mobile App,USA,73.0,Ukraine,4.8,182,1,326.3965517241379,High,Expert
3247.0,1.1,62.0,2,5.0,Design,UK,51.0,Ukraine,2.5,65,0,51.53968253968254,Low,Entry
689.0,1.8,90.0,6,6.0,Mobile App,USA,64.0,Philippines,3.4,322,0,7.571428571428571,Low,Senior
19618.0,3.9,51.0,6,6.0,Mobile App,Singapore,77.0,Nigeria,2.8,355,1,377.2692307692308,High,Senior
36273.0,2.5,88.0,3,1.0,Writing,France,2.0,Canada,3.7,207,0,407.561797752809,Medium,Junior
2399.0,3.6,23.0,4,2.0,Web Development,USA,36.0,Ukraine,1.7,53,0,99.95833333333333,High,Junior
1767.0,2.4,71.0,16,3.0,Web Development,Brazil,11.0,USA,2.6,220,0,24.541666666666668,Medium,Expert
32051.0,2.6,8.0,3,4.0,Mobile App,Germany,68.0,USA,1.3,235,0,3561.222222222222,Medium,Junior
11894.0,1.6,36.0,12,6.0,Web Development,India,68.0,Pakistan,3.4,376,0,321.4594594594595,Low,Expert
4056.0,2.0,93.0,15,9.0,Data Science,Brazil,64.0,Ukraine,4.9,99,1,43.148936170212764,Low,Expert
4390.0,3.4,82.0,15,2.0,Marketing,India,1.0,Ukraine,1.2,446,0,52.89156626506024,Medium,Expert
42106.0,2.7,52.0,1,8.0,Mobile App,Australia,89.0,Bangladesh,3.6,437,0,794.4528301886793,Medium,Entry
31240.0,4.1,79.0,17,9.0,Marketing,Canada,26.0,USA,4.1,491,1,390.5,High,Expert
15002.0,4.4,23.0,0,2.0,Mobile App,UAE,11.0,USA,1.9,102,0,625.0833333333334,High,Entry
22277.0,3.2,20.0,17,9.0,Design,France,87.0,Nigeria,2.1,435,1,1060.8095238095239,Medium,Expert
11127.0,4.0,99.0,7,7.0,Marketing,India,2.0,Nigeria,1.8,181,1,111.27,High,Senior
9292.0,2.2,39.0,10,9.0,Data Science,Singapore,83.0,Philippines,2.2,450,0,232.3,Medium,Senior
43823.0,2.7,61.0,14,6.0,Mobile App,France,40.0,USA,1.4,420,0,706.8225806451613,Medium,Expert
43521.0,3.9,69.0,15,2.0,Mobile App,Brazil,4.0,Bangladesh,2.5,107,0,621.7285714285714,High,Expert
8933.0,2.5,68.0,16,8.0,Web Development,UK,80.0,UK,2.5,11,1,129.46376811594203,Medium,Expert
43501.0,3.4,13.0,16,9.0,Mobile App,France,37.0,Ukraine,4.2,442,1,3107.214285714286,Medium,Expert
11516.0,1.7,41.0,11,8.0,Marketing,France,61.0,Ukraine,4.2,403,1,274.1904761904762,Low,Expert
24397.0,3.4,49.0,9,2.0,Marketing,Australia,5.0,India,4.2,342,0,487.94,Medium,Senior
3112.0,4.4,60.0,19,8.0,Mobile App,UAE,15.0,UK,3.3,85,1,51.01639344262295,High,Expert
23983.0,4.5,3.0,5,3.0,Mobile App,Australia,87.0,Canada,2.3,287,0,5995.75,High,Junior
49055.0,3.9,71.0,7,3.0,Mobile App,France,67.0,India,2.6,326,0,681.3194444444445,High,Senior
17659.0,4.0,87.0,12,9.0,Design,Australia,82.0,Canada,2.3,213,1,200.67045454545453,High,Expert
45474.0,3.2,74.0,1,9.0,Data Science,UAE,26.0,Bangladesh,,43,1,606.32,Medium,Entry
41494.0,3.3,16.0,18,9.0,Marketing,Canada,6.0,USA,4.8,321,1,2440.823529411765,Medium,Expert
15041.0,1.5,84.0,9,4.0,Design,UK,44.0,Pakistan,2.1,77,0,176.95294117647057,Low,Senior
36420.0,2.8,56.0,3,7.0,Web Development,Brazil,58.0,India,2.8,54,0,638.9473684210526,Medium,Junior
27031.0,2.8,89.0,11,8.0,Writing,Germany,81.0,Canada,3.6,271,1,300.34444444444443,Medium,Expert
2085.0,4.8,47.0,17,5.0,Mobile App,France,46.0,Nigeria,4.4,343,1,43.4375,High,Expert
241504.0,2.7,43.0,6,1.0,Marketing,France,42.0,Bangladesh,2.0,70,0,5488.727272727273,Medium,Senior
24439.0,3.2,44.0,19,9.0,Web Development,Germany,48.0,Ukraine,2.1,67,1,543.0888888888888,Medium,Expert
19957.0,3.1,90.0,3,6.0,Marketing,UAE,27.0,Philippines,4.5,179,0,219.30769230769232,Medium,Junior
1521.0,3.5,79.0,6,3.0,Writing,Germany,20.0,UK,1.3,379,0,19.0125,Medium,Senior
12153.0,4.0,89.0,9,3.0,Mobile App,Germany,70.0,Bangladesh,3.4,420,0,135.03333333333333,High,Senior
44073.0,1.9,32.0,14,1.0,Marketing,Canada,35.0,India,4.4,173,0,1335.5454545454545,Low,Expert
13917.0,3.1,30.0,11,8.0,Mobile App,UK,76.0,India,4.7,168,1,448.93548387096774,Medium,Expert
41257.0,4.3,46.0,0,2.0,Writing,France,48.0,Pakistan,1.1,388,0,877.8085106382979,High,Entry
10192.0,2.9,5.0,19,1.0,Design,Germany,67.0,Pakistan,2.5,449,0,1698.6666666666667,Medium,Expert
46258.0,2.1,71.0,17,7.0,Writing,USA,,Canada,2.0,260,1,642.4722222222222,Medium,Expert
7373.0,,70.0,15,9.0,Writing,UK,52.0,Australia,3.3,446,1,103.84507042253522,,Expert
6175.0,4.3,33.0,4,6.0,Marketing,UK,68.0,USA,3.5,124,0,181.61764705882354,High,Junior
661.0,1.3,52.0,18,8.0,Data Science,USA,4.0,USA,5.0,130,1,12.471698113207546,Low,Expert
37565.0,,13.0,3,8.0,Mobile App,Canada,39.0,India,3.1,233,0,2683.214285714286,,Junior
27057.0,4.3,15.0,5,9.0,Marketing,India,21.0,Australia,3.2,391,1,1691.0625,High,Junior
34263.0,2.8,42.0,16,7.0,Mobile App,Australia,66.0,Philippines,2.7,153,1,796.8139534883721,Medium,Expert
33106.0,4.9,72.0,6,9.0,Design,UK,16.0,Philippines,1.6,329,1,453.5068493150685,High,Senior
12034.0,4.1,73.0,6,9.0,Design,UAE,7.0,Australia,2.2,124,1,162.6216216216216,High,Senior
29627.0,4.1,80.0,8,1.0,Data Science,Singapore,83.0,Bangladesh,2.0,353,0,365.7654320987654,High,Senior
40897.0,4.0,11.0,12,6.0,Data Science,UAE,9.0,UK,4.2,493,1,3408.0833333333335,High,Expert
26351.0,1.6,69.0,19,8.0,Data Science,France,17.0,Bangladesh,3.2,378,1,376.4428571428571,Low,Expert
1516.0,1.9,18.0,13,9.0,Design,Brazil,12.0,Australia,2.2,99,1,79.78947368421052,Low,Expert
24753.0,2.9,40.0,15,4.0,Writing,UK,57.0,Ukraine,3.0,52,1,603.7317073170732,Medium,Expert
24776.0,2.1,52.0,8,2.0,Marketing,Germany,45.0,UK,1.9,331,0,467.47169811320754,Medium,Senior
23747.0,2.7,28.0,14,9.0,Mobile App,Australia,11.0,India,1.7,467,1,818.8620689655172,Medium,Expert
24800.0,4.6,69.0,4,9.0,Mobile App,India,13.0,Philippines,4.4,127,1,354.2857142857143,High,Junior
9029.0,4.3,58.0,17,8.0,Marketing,Singapore,31.0,Bangladesh,4.8,412,1,153.03389830508473,High,Expert
17762.0,3.5,88.0,19,3.0,Web Development,Singapore,77.0,Pakistan,1.3,13,0,199.57303370786516,Medium,Expert
9768.0,4.4,63.0,7,5.0,Design,Australia,26.0,Nigeria,4.1,495,1,152.625,High,Senior
21771.0,4.1,23.0,14,,Design,UAE,63.0,UK,2.8,4,0,907.125,High,Expert
12685.0,2.7,88.0,8,3.0,Data Science,India,31.0,Australia,2.6,249,0,142.52808988764045,Medium,Senior
21743.0,1.8,15.0,18,1.0,Marketing,Singapore,22.0,Philippines,3.8,367,0,1358.9375,Low,Expert
39599.0,3.1,51.0,5,4.0,Web Development,UK,6.0,Ukraine,2.1,26,0,761.5192307692307,Medium,Junior
9071.0,3.9,79.0,3,5.0,Web Development,Australia,20.0,India,1.1,124,0,113.3875,High,Junior
40476.0,2.7,5.0,10,2.0,Design,Canada,85.0,India,1.9,451,0,6746.0,Medium,Senior
38544.0,3.7,36.0,9,3.0,Data Science,France,10.0,Australia,1.7,28,0,1041.7297297297298,High,Senior
49716.0,1.4,84.0,2,6.0,Mobile App,UK,83.0,Nigeria,1.1,2,0,584.8941176470588,Low,Entry
49484.0,4.0,3.0,0,6.0,Data Science,Canada,35.0,Bangladesh,2.3,480,0,12371.0,High,Entry
41274.0,4.3,97.0,11,7.0,Mobile App,Singapore,26.0,Australia,2.9,413,1,421.16326530612247,High,Expert
3068.0,,91.0,14,9.0,Design,UAE,71.0,Canada,3.9,227,1,33.34782608695652,,Expert
2527.0,4.9,37.0,14,4.0,Data Science,UK,37.0,Nigeria,2.3,136,0,66.5,High,Expert
3195.0,4.3,40.0,13,5.0,Web Development,Germany,8.0,Philippines,1.8,256,1,77.92682926829268,High,Expert
48690.0,4.6,91.0,6,2.0,Marketing,Canada,5.0,Nigeria,1.9,239,0,529.2391304347826,High,Senior
5758.0,4.7,80.0,16,6.0,Writing,Germany,44.0,Australia,4.6,278,1,71.08641975308642,High,Expert
22502.0,,13.0,18,4.0,Web Development,India,67.0,Canada,1.8,322,1,1607.2857142857142,,Expert
40004.0,3.7,70.0,6,5.0,Marketing,Brazil,72.0,Bangladesh,4.5,159,0,563.4366197183099,High,Senior
33659.0,1.0,85.0,2,7.0,Mobile App,Australia,79.0,Ukraine,2.8,471,0,391.3837209302326,Low,Entry
14486.0,2.9,50.0,2,6.0,Design,France,49.0,Australia,4.7,5,0,284.03921568627453,Medium,Entry
13166.0,3.3,64.0,17,8.0,Data Science,Brazil,36.0,Bangladesh,2.6,460,1,202.55384615384617,Medium,Expert
39160.0,2.2,92.0,19,6.0,Design,France,80.0,Canada,1.7,304,1,421.0752688172043,Medium,Expert
4061.0,2.3,51.0,13,8.0,Design,Australia,26.0,Australia,3.2,142,1,78.09615384615384,Medium,Expert
27354.0,4.8,94.0,2,4.0,Mobile App,Canada,45.0,UK,3.4,441,0,287.93684210526317,High,Entry
39452.0,4.6,29.0,6,7.0,Design,Australia,61.0,Australia,3.5,180,0,1315.0666666666666,High,Senior
23162.0,4.4,56.0,6,3.0,Data Science,UK,44.0,Philippines,2.6,29,0,406.35087719298247,High,Senior
8892.0,,78.0,4,1.0,Web Development,Australia,4.0,Canada,1.2,459,0,112.55696202531645,,Junior
31035.0,1.1,81.0,2,9.0,Design,Australia,76.0,USA,3.5,252,1,378.4756097560976,Low,Entry
13567.0,1.3,98.0,17,9.0,Data Science,India,81.0,Bangladesh,4.7,39,1,137.04040404040404,Low,Expert
48533.0,2.2,29.0,14,6.0,Data Science,USA,58.0,Ukraine,4.8,186,1,1617.7666666666667,Medium,Expert
24099.0,1.1,97.0,19,2.0,Mobile App,UK,26.0,Pakistan,3.4,318,0,245.90816326530611,Low,Expert
35722.0,1.1,41.0,13,8.0,Design,UAE,79.0,Canada,1.1,303,1,850.5238095238095,Low,Expert
12337.0,4.7,10.0,3,6.0,Mobile App,UAE,29.0,Ukraine,1.4,226,0,1121.5454545454545,High,Junior
14539.0,3.8,26.0,7,7.0,Web Development,UAE,9.0,Pakistan,4.3,219,1,538.4814814814815,High,Senior
31318.0,2.2,23.0,12,1.0,Web Development,India,78.0,USA,4.3,379,0,1304.9166666666667,Medium,Expert
19615.0,1.5,98.0,7,3.0,Marketing,UAE,36.0,Nigeria,4.8,323,0,198.13131313131314,Low,Senior
11465.0,3.0,38.0,14,1.0,Data Science,Singapore,4.0,Nigeria,3.3,390,0,293.97435897435895,Medium,Expert
25038.0,1.0,71.0,16,1.0,Design,Australia,59.0,Nigeria,4.5,430,0,347.75,Low,Expert
43030.0,4.8,17.0,4,1.0,Marketing,Australia,37.0,Pakistan,4.3,42,0,2390.5555555555557,High,Junior
5556.0,2.7,76.0,19,4.0,Data Science,France,88.0,Pakistan,3.4,143,1,72.15584415584415,Medium,Expert
32982.0,2.6,44.0,3,7.0,Design,India,81.0,Australia,4.1,277,0,732.9333333333333,Medium,Junior
48216.0,2.6,87.0,10,7.0,Mobile App,Brazil,13.0,Ukraine,1.5,318,1,547.9090909090909,Medium,Senior
8610.0,1.3,86.0,17,5.0,Web Development,USA,20.0,Nigeria,3.6,173,1,98.96551724137932,Low,Expert
14273.0,3.6,11.0,9,6.0,Marketing,UAE,17.0,Philippines,4.8,246,1,1189.4166666666667,High,Senior
27766.0,,48.0,16,2.0,Marketing,Australia,51.0,Philippines,1.6,172,0,566.6530612244898,,Expert
17912.0,3.7,93.0,14,5.0,Web Development,UAE,55.0,UK,4.0,40,1,190.5531914893617,High,Expert
33770.0,1.6,30.0,5,7.0,Mobile App,UK,33.0,UK,2.3,408,0,1089.3548387096773,Low,Junior
7410.0,3.3,91.0,15,9.0,Writing,Australia,21.0,Bangladesh,4.3,49,1,80.54347826086956,Medium,Expert
45953.0,3.3,21.0,14,6.0,Writing,UK,81.0,UK,3.8,322,1,2088.7727272727275,Medium,Expert
25946.0,4.5,43.0,7,4.0,Writing,India,22.0,Australia,4.7,179,1,589.6818181818181,High,Senior
706.0,2.5,91.0,8,3.0,Design,Brazil,,Nigeria,3.8,341,0,7.673913043478261,Medium,Senior
22018.0,2.5,63.0,10,9.0,Marketing,Brazil,67.0,India,2.6,158,1,344.03125,Medium,Senior
22861.0,3.5,76.0,1,7.0,Mobile App,UAE,12.0,UK,1.0,36,0,296.8961038961039,Medium,Entry
23919.0,3.5,24.0,12,6.0,Design,France,15.0,Australia,4.2,405,1,956.76,Medium,Expert
49202.0,2.9,50.0,3,7.0,Design,India,84.0,Philippines,2.6,26,1,964.7450980392157,Medium,Junior
42023.0,2.8,6.0,8,8.0,Mobile App,France,86.0,India,,375,1,6003.285714285715,Medium,Senior
45651.0,3.0,5.0,4,5.0,Design,India,2.0,Ukraine,1.4,385,0,7608.5,Medium,Junior
22903.0,4.4,23.0,18,3.0,Marketing,France,4.0,USA,4.6,255,1,954.2916666666666,High,Expert
18641.0,2.8,18.0,2,3.0,Mobile App,Australia,45.0,India,2.7,277,0,981.1052631578947,Medium,Entry
15320.0,4.8,82.0,2,2.0,Writing,Australia,13.0,Australia,4.7,248,0,184.57831325301206,High,Entry
40842.0,3.0,99.0,5,8.0,Writing,Brazil,55.0,Canada,3.8,180,1,408.42,Medium,Junior
6874.0,4.8,8.0,9,1.0,Design,Australia,32.0,Philippines,1.5,16,0,763.7777777777778,High,Senior
2178.0,4.3,35.0,4,8.0,Web Development,UAE,22.0,Bangladesh,3.3,367,1,60.5,High,Junior
34327.0,2.4,39.0,2,3.0,Mobile App,USA,89.0,USA,4.6,124,0,858.175,Medium,Entry
16698.0,,92.0,6,9.0,Data Science,Brazil,55.0,Pakistan,4.2,311,1,179.5483870967742,,Senior
10414.0,1.4,23.0,17,2.0,Data Science,India,17.0,Ukraine,2.7,211,0,433.9166666666667,Low,Expert
28390.0,4.7,47.0,7,9.0,Design,Brazil,70.0,UK,4.8,471,1,591.4583333333334,High,Senior
22799.0,3.5,62.0,0,6.0,Web Development,UK,51.0,Pakistan,2.1,236,0,361.8888888888889,Medium,Entry
44085.0,1.2,68.0,3,1.0,Mobile App,Brazil,80.0,USA,,414,0,638.9130434782609,Low,Junior
44189.0,3.6,52.0,6,5.0,Writing,Australia,8.0,Pakistan,4.0,499,0,833.7547169811321,High,Senior
43057.0,4.9,53.0,13,9.0,Design,India,61.0,Pakistan,1.9,298,1,797.3518518518518,High,Expert
49580.0,1.3,41.0,12,6.0,Mobile App,UAE,10.0,India,3.1,199,0,1180.4761904761904,Low,Expert
44520.0,3.2,44.0,9,7.0,Mobile App,UK,19.0,Philippines,3.9,376,1,989.3333333333334,Medium,Senior
3193.0,4.0,89.0,17,,Mobile App,UK,14.0,India,3.6,180,1,35.477777777777774,High,Expert
29967.0,4.2,13.0,0,1.0,Web Development,UK,67.0,Ukraine,1.6,388,0,2140.5,High,Entry
30223.0,2.7,28.0,3,5.0,Mobile App,UAE,55.0,UK,3.5,129,0,1042.1724137931035,Medium,Junior
47199.0,1.8,5.0,15,2.0,Web Development,Canada,61.0,Pakistan,3.3,120,0,7866.5,Low,Expert
4127.0,1.2,6.0,15,8.0,Web Development,India,56.0,India,3.2,186,1,589.5714285714286,Low,Expert
26439.0,3.3,36.0,17,4.0,Marketing,UK,63.0,Bangladesh,,387,1,714.5675675675676,Medium,Expert
49425.0,2.8,52.0,7,1.0,Mobile App,Germany,87.0,UK,1.7,226,0,932.5471698113207,Medium,Senior
43441.0,4.8,17.0,9,7.0,Marketing,Brazil,11.0,Philippines,4.0,161,1,2413.3888888888887,High,Senior
22334.0,1.2,86.0,15,2.0,Writing,Germany,47.0,Australia,4.0,450,1,256.71264367816093,Low,Expert
18547.0,3.7,37.0,10,3.0,Marketing,UK,6.0,Pakistan,3.9,111,0,488.07894736842104,High,Senior
26605.0,1.1,58.0,5,9.0,Marketing,Australia,34.0,India,3.0,467,0,450.93220338983053,Low,Junior
10730.0,1.7,0.0,0,9.0,Mobile App,UK,65.0,Australia,2.6,456,0,10730.0,Low,Entry
16207.0,2.8,67.0,11,2.0,Writing,Brazil,89.0,UK,2.6,133,0,238.33823529411765,Medium,Expert
22476.0,2.8,43.0,5,3.0,Design,Australia,64.0,Philippines,3.9,185,0,510.8181818181818,Medium,Junior
44762.0,3.7,46.0,12,9.0,Data Science,France,87.0,India,3.0,174,1,952.3829787234042,High,Expert
24276.0,4.6,34.0,16,1.0,Design,India,82.0,Canada,2.4,260,0,693.6,High,Expert
30580.0,3.6,86.0,0,2.0,Web Development,Brazil,78.0,Pakistan,3.5,316,0,351.4942528735632,High,Entry
1806.0,4.8,90.0,7,2.0,Design,Australia,81.0,Ukraine,4.3,488,0,19.846153846153847,High,Senior
7276.0,4.5,59.0,7,3.0,Data Science,Brazil,66.0,Bangladesh,1.2,311,0,121.26666666666667,High,Senior
27751.0,3.3,89.0,10,3.0,Data Science,Brazil,31.0,Bangladesh,4.9,357,1,308.34444444444443,Medium,Senior
9974.0,4.3,51.0,13,2.0,Writing,Canada,83.0,UK,,418,0,191.80769230769232,High,Expert
40794.0,3.6,7.0,9,8.0,Design,Germany,62.0,Bangladesh,3.0,374,1,5099.25,High,Senior
22459.0,1.3,79.0,14,8.0,Web Development,UK,54.0,Australia,3.2,478,1,280.7375,Low,Expert
6030.0,4.0,40.0,6,8.0,Marketing,Australia,8.0,Canada,1.6,268,1,147.0731707317073,High,Senior
29820.0,1.4,2.0,6,2.0,Marketing,UAE,42.0,Philippines,4.7,281,0,9940.0,Low,Senior
4248.0,,95.0,9,9.0,Web Development,UK,41.0,Bangladesh,2.9,469,1,44.25,,Senior
32468.0,3.8,68.0,3,7.0,Writing,Singapore,59.0,Ukraine,1.6,223,0,470.5507246376812,High,Junior
33062.0,1.3,83.0,17,5.0,Marketing,UK,40.0,Ukraine,3.8,251,1,393.5952380952381,Low,Expert
14045.0,1.9,13.0,9,7.0,Writing,UAE,22.0,Australia,3.7,63,1,1003.2142857142857,Low,Senior
1163.0,4.7,95.0,18,8.0,Marketing,UAE,24.0,Bangladesh,4.9,462,1,12.114583333333334,High,Expert
35266.0,3.5,25.0,13,9.0,Marketing,France,38.0,UK,2.8,394,1,1356.3846153846155,Medium,Expert
8494.0,2.0,69.0,12,2.0,Design,Brazil,2.0,Pakistan,2.1,317,0,121.34285714285714,Low,Expert
28521.0,3.8,57.0,14,6.0,Writing,Germany,41.0,Canada,1.2,463,0,491.7413793103448,High,Expert
30803.0,3.4,99.0,15,9.0,Data Science,USA,19.0,Ukraine,3.9,430,1,308.03,Medium,Expert
3804.0,3.0,39.0,1,6.0,Web Development,UK,,Canada,3.5,123,0,95.1,Medium,Entry
47076.0,4.9,50.0,3,2.0,Marketing,France,62.0,UK,4.9,69,0,923.0588235294117,High,Junior
39853.0,3.7,4.0,17,1.0,Data Science,Australia,83.0,Nigeria,3.8,237,0,7970.6,High,Expert
18175.0,2.5,76.0,16,3.0,Mobile App,Singapore,16.0,Nigeria,4.7,74,1,236.03896103896105,Medium,Expert
44917.0,4.2,31.0,9,5.0,Data Science,Canada,22.0,Nigeria,5.0,441,1,1403.65625,High,Senior
24438.0,4.5,79.0,8,7.0,Web Development,Australia,14.0,Canada,2.7,499,1,305.475,High,Senior
24164.0,1.5,0.0,14,3.0,Mobile App,Canada,56.0,UK,1.6,9,0,24164.0,Low,Expert
2136.0,1.8,76.0,11,9.0,Design,France,65.0,Australia,1.8,399,1,27.74025974025974,Low,Expert
20580.0,1.9,53.0,8,4.0,Mobile App,UK,45.0,UK,2.3,267,0,381.1111111111111,Low,Senior
28228.0,3.8,10.0,13,2.0,Writing,Brazil,54.0,Ukraine,3.0,454,0,2566.181818181818,High,Expert
27236.0,3.4,52.0,12,3.0,Web Development,UK,66.0,Bangladesh,1.5,486,0,513.8867924528302,Medium,Expert
29173.0,3.5,7.0,5,5.0,Writing,UK,86.0,USA,2.2,474,0,3646.625,Medium,Junior
38005.0,4.8,24.0,18,3.0,Data Science,Australia,46.0,UK,2.2,87,1,1520.2,High,Expert
47823.0,4.1,39.0,3,5.0,Design,UAE,33.0,Pakistan,1.0,49,0,1195.575,High,Junior
47145.0,1.5,31.0,19,4.0,Web Development,UAE,79.0,Nigeria,2.4,142,1,1473.28125,Low,Expert
1354.0,2.4,87.0,16,3.0,Design,UAE,50.0,Bangladesh,1.5,58,0,15.386363636363637,Medium,Expert
25048.0,2.7,27.0,18,6.0,Marketing,UAE,22.0,India,2.7,453,1,894.5714285714286,Medium,Expert
39123.0,2.6,77.0,2,8.0,Web Development,France,40.0,India,1.8,317,0,501.5769230769231,Medium,Entry
7892.0,3.7,2.0,13,4.0,Writing,Germany,39.0,Canada,4.3,210,1,2630.6666666666665,High,Expert
47217.0,4.6,99.0,16,9.0,Data Science,France,41.0,Ukraine,1.3,71,1,472.17,High,Expert
22056.0,2.2,90.0,12,6.0,Mobile App,India,75.0,Pakistan,4.5,243,1,242.37362637362637,Medium,Expert
39059.0,3.2,83.0,8,5.0,Design,UAE,68.0,Bangladesh,3.3,238,1,464.98809523809524,Medium,Senior
26809.0,4.2,78.0,0,3.0,Web Development,UK,7.0,UK,2.8,189,0,339.3544303797468,High,Entry
22419.0,2.7,61.0,16,5.0,Web Development,India,85.0,India,3.2,483,1,361.5967741935484,Medium,Expert
5431.0,1.7,26.0,15,5.0,Marketing,France,71.0,Australia,2.5,49,0,201.14814814814815,Low,Expert
33470.0,2.9,44.0,17,4.0,Design,Singapore,4.0,Bangladesh,1.5,204,0,743.7777777777778,Medium,Expert
44715.0,1.2,91.0,1,6.0,Mobile App,Brazil,76.0,Nigeria,4.1,53,0,486.0326086956522,Low,Entry
13188.0,4.8,24.0,13,3.0,Data Science,USA,59.0,Australia,4.7,309,1,527.52,High,Expert
25842.0,1.3,60.0,16,1.0,Web Development,Singapore,81.0,Ukraine,4.8,480,0,423.6393442622951,Low,Expert
37657.0,2.8,43.0,2,7.0,Web Development,Canada,84.0,USA,3.7,223,1,855.8409090909091,Medium,Entry
2827.0,3.1,96.0,1,7.0,Design,USA,26.0,India,2.6,155,0,29.144329896907216,Medium,Entry
41272.0,4.9,45.0,7,4.0,Design,France,31.0,Nigeria,2.9,359,0,897.2173913043479,High,Senior
41045.0,1.7,13.0,1,9.0,Web Development,Canada,73.0,Canada,3.6,50,1,2931.785714285714,Low,Entry
697.0,1.5,7.0,1,2.0,Web Development,UAE,69.0,Pakistan,4.3,240,0,87.125,Low,Entry
24009.0,,47.0,8,1.0,Marketing,UK,52.0,Bangladesh,2.5,329,0,500.1875,,Senior
35198.0,1.6,13.0,19,3.0,Web Development,Australia,72.0,Pakistan,4.7,160,1,2514.1428571428573,Low,Expert
45042.0,1.8,64.0,5,7.0,Writing,UK,21.0,Pakistan,2.3,128,0,692.9538461538461,Low,Junior
15587.0,3.5,79.0,11,9.0,Web Development,Australia,16.0,Australia,3.1,84,1,194.8375,Medium,Expert
23171.0,1.9,81.0,8,2.0,Data Science,USA,51.0,Philippines,4.8,68,0,282.5731707317073,Low,Senior
25684.0,1.1,6.0,6,6.0,Data Science,Brazil,16.0,Canada,4.8,384,0,3669.1428571428573,Low,Senior
28348.0,4.3,78.0,11,3.0,Marketing,India,18.0,Pakistan,3.8,372,0,358.8354430379747,High,Expert
42607.0,2.5,87.0,4,5.0,Mobile App,Canada,47.0,Bangladesh,2.3,54,0,484.17045454545456,Medium,Junior
