project_budget,client_rating,num_existing_proposals,freelancer_experience,proposal_quality_score,project_category,client_location,project_duration,freelancer_country,freelancer_rating,previous_jobs_completed,budget_per_proposal,project_category_encoded,client_location_encoded,freelancer_country_encoded,client_rating_category_encoded,experience_level_encoded,experience_quality_interaction,combined_experience_rating
74910.125,2.4,71.0,16,3.0,Design,Brazil,1.0,Ukraine,2.5,482,1040.4184027777778,1,1,9,2,1,48.0,150.4
32051.0,2.6,8.0,3,5.0,Design,India,16.0,Pakistan,1.7,466,3561.222222222222,1,5,5,2,2,15.0,141.38
11894.0,1.6,36.0,12,6.0,Design,India,72.0,India,4.6,253,321.4594594594595,1,5,3,1,1,72.0,81.33999999999999
4056.0,2.0,93.0,15,9.0,Web Development,Australia,46.0,Bangladesh,4.5,315,43.148936170212764,4,0,1,1,1,135.0,100.8
4390.0,3.4,82.0,15,2.0,Web Development,UK,10.0,Australia,4.4,416,52.89156626506024,4,8,0,2,1,30.0,131.06
42106.0,2.7,52.0,1,8.0,Mobile App,Singapore,33.0,Nigeria,2.6,254,794.4528301886793,3,6,4,2,0,8.0,77.54
31240.0,4.1,79.0,17,9.0,Data Science,Brazil,41.0,Ukraine,1.2,287,390.5,0,1,9,0,1,153.0,91.67999999999999
15002.0,4.4,23.0,0,2.0,Mobile App,Brazil,51.0,India,1.4,291,625.0833333333334,3,1,3,0,0,0.0,87.86
22277.0,3.2,20.0,17,9.0,Data Science,Brazil,22.0,USA,2.1,151,1060.8095238095239,0,1,8,2,1,153.0,51.239999999999995
11127.0,4.0,99.0,7,7.0,Writing,Brazil,16.0,Ukraine,1.9,426,111.27,5,1,9,0,3,49.0,130.66
9292.0,3.0,39.0,10,9.0,Design,Canada,83.0,Ukraine,4.5,198,232.3,1,2,9,2,3,90.0,64.2
43823.0,2.7,61.0,14,6.0,Design,Canada,75.0,Philippines,4.9,198,706.8225806451613,1,2,6,2,1,84.0,65.56
43521.0,3.9,69.0,15,2.0,Web Development,Canada,62.0,Philippines,4.3,301,621.7285714285714,4,2,6,0,1,30.0,96.52
8933.0,2.5,68.0,16,8.0,Writing,UAE,53.0,Ukraine,3.9,174,129.46376811594203,5,7,9,2,1,128.0,58.559999999999995
43501.0,3.4,13.0,16,9.0,Marketing,Germany,75.0,USA,3.4,452,3107.214285714286,2,4,8,2,1,144.0,141.76
11516.0,1.7,41.0,11,8.0,Writing,USA,14.0,Canada,4.1,269,274.1904761904762,5,9,2,1,1,88.0,85.64
24397.0,3.4,49.0,9,2.0,Data Science,Canada,59.0,Australia,4.8,428,487.94,0,2,0,2,3,18.0,133.02
3112.0,4.4,60.0,19,8.0,Writing,Australia,26.0,Pakistan,3.4,179,51.01639344262295,5,0,5,0,1,152.0,60.76
23983.0,4.5,3.0,5,3.0,Web Development,UK,44.0,Bangladesh,1.6,217,5995.75,4,8,1,0,2,15.0,67.24
49055.0,3.9,71.0,7,3.0,Data Science,Germany,20.0,Bangladesh,1.7,117,681.3194444444445,0,4,1,0,3,21.0,37.88
17659.0,4.0,87.0,12,9.0,Mobile App,Brazil,84.0,Nigeria,3.3,305,200.67045454545453,3,1,4,0,1,108.0,96.42
45474.0,3.2,74.0,1,9.0,Data Science,USA,5.0,Australia,3.0,320,606.32,0,9,0,2,0,9.0,97.5
41494.0,3.3,16.0,18,9.0,Mobile App,USA,65.0,Pakistan,4.6,332,2440.823529411765,3,9,5,2,1,162.0,106.83999999999999
15041.0,1.5,84.0,9,4.0,Marketing,UAE,11.0,Nigeria,3.4,319,176.95294117647057,2,7,4,1,3,36.0,99.76
36420.0,2.8,56.0,3,7.0,Data Science,Australia,47.0,Nigeria,3.7,22,638.9473684210526,0,0,4,2,2,21.0,8.98
27031.0,2.8,89.0,11,8.0,Design,USA,10.0,Pakistan,1.0,124,300.34444444444443,1,9,5,2,1,88.0,40.9
2085.0,4.8,47.0,17,5.0,Marketing,France,61.0,India,3.0,83,43.4375,2,3,3,0,1,85.0,31.2
4443.0,2.7,43.0,6,1.0,Mobile App,Singapore,45.0,Canada,2.7,198,100.97727272727273,3,6,2,2,3,6.0,62.28
24439.0,3.2,44.0,19,9.0,Web Development,Brazil,47.0,India,3.8,325,543.0888888888888,4,1,3,2,1,171.0,104.72
19957.0,3.1,90.0,3,6.0,Marketing,France,34.0,Canada,2.5,186,219.30769230769232,2,3,2,2,2,18.0,57.699999999999996
1521.0,3.5,79.0,6,3.0,Marketing,USA,13.0,India,4.9,328,19.0125,2,9,3,2,3,18.0,102.16
12153.0,4.0,89.0,9,3.0,Marketing,USA,89.0,Bangladesh,3.7,91,135.03333333333333,2,9,1,0,3,27.0,31.48
44073.0,1.9,32.0,14,1.0,Mobile App,USA,23.0,Bangladesh,3.6,329,1335.5454545454545,3,9,1,1,1,14.0,104.34
13917.0,3.1,30.0,11,8.0,Mobile App,UAE,36.0,USA,4.7,181,448.93548387096774,3,7,8,2,1,88.0,59.48
41257.0,4.3,46.0,0,2.0,Data Science,France,63.0,Pakistan,5.0,226,877.8085106382979,0,3,5,0,0,0.0,69.8
10192.0,2.9,5.0,19,1.0,Design,Canada,76.0,Philippines,1.8,198,1698.6666666666667,1,2,6,2,1,19.0,65.82
46258.0,2.1,71.0,17,7.0,Marketing,Canada,47.0,UK,4.2,472,642.4722222222222,2,2,7,2,1,119.0,148.38
7373.0,3.6,70.0,15,9.0,Data Science,Canada,66.0,Canada,1.6,477,103.84507042253522,0,2,2,0,1,135.0,148.24
6175.0,3.0,33.0,4,6.0,Data Science,UK,84.0,Bangladesh,2.8,234,181.61764705882354,0,8,1,2,2,24.0,72.52
661.0,3.0,52.0,18,8.0,Design,Australia,80.0,Nigeria,3.0,409,12.471698113207546,1,0,4,2,1,144.0,129.29999999999998
37565.0,4.1,13.0,3,8.0,Data Science,France,14.0,Ukraine,3.5,43,2683.214285714286,0,3,9,0,2,24.0,15.2
27057.0,4.3,15.0,5,9.0,Design,Singapore,53.0,Australia,2.9,75,1691.0625,1,6,0,0,2,45.0,25.16
34263.0,2.8,42.0,16,7.0,Web Development,Canada,66.0,Ukraine,3.5,140,796.8139534883721,4,2,9,2,1,112.0,48.2
33106.0,4.9,72.0,6,9.0,Design,Brazil,49.0,Ukraine,3.7,181,453.5068493150685,1,1,9,0,3,54.0,57.58
12034.0,4.1,73.0,6,9.0,Writing,France,16.0,Pakistan,3.5,118,162.6216216216216,5,3,5,0,3,54.0,38.6
29627.0,4.1,80.0,8,1.0,Design,Australia,68.0,USA,2.2,39,365.7654320987654,1,0,8,0,3,8.0,14.98
40897.0,4.0,11.0,12,5.0,Design,USA,43.0,UK,4.3,259,3408.0833333333335,1,9,7,0,1,60.0,83.02
26351.0,1.6,69.0,19,8.0,Writing,India,77.0,Australia,3.2,436,376.4428571428571,5,5,0,1,1,152.0,137.77999999999997
1516.0,1.9,18.0,13,9.0,Design,UAE,65.0,Australia,3.0,243,79.78947368421052,1,7,0,1,1,117.0,77.99999999999999
24753.0,2.9,40.0,15,4.0,Mobile App,Canada,9.0,UK,4.9,128,603.7317073170732,3,2,7,2,1,60.0,44.86
24776.0,2.1,52.0,8,2.0,Data Science,Brazil,21.0,Nigeria,2.1,5,467.47169811320754,0,1,4,2,3,16.0,4.74
23747.0,2.7,28.0,14,9.0,Data Science,Australia,82.0,UK,3.1,310,818.8620689655172,0,0,7,2,1,126.0,98.44
24800.0,4.6,69.0,4,9.0,Web Development,Canada,84.0,Pakistan,3.7,65,354.2857142857143,4,2,5,0,2,36.0,22.18
9029.0,4.3,58.0,17,8.0,Web Development,Brazil,43.0,India,1.5,373,153.03389830508473,4,1,3,0,1,136.0,117.6
17762.0,3.5,88.0,19,3.0,Writing,UAE,66.0,Australia,2.4,493,199.57303370786516,5,7,0,2,1,57.0,154.56
9768.0,4.4,63.0,7,5.0,Mobile App,Brazil,4.0,Pakistan,4.2,218,152.625,3,1,5,0,3,35.0,69.17999999999999
21771.0,4.1,23.0,14,2.0,Web Development,UAE,7.0,Australia,1.9,145,907.125,4,7,0,0,1,28.0,48.46
12685.0,2.7,88.0,8,3.0,Data Science,Australia,86.0,Nigeria,3.0,233,142.52808988764045,0,0,4,2,3,24.0,73.49999999999999
21743.0,1.8,15.0,18,1.0,Web Development,UK,84.0,Bangladesh,3.5,28,1358.9375,4,8,1,1,1,18.0,15.2
39599.0,3.1,51.0,5,4.0,Web Development,Canada,58.0,Philippines,3.7,308,761.5192307692307,4,2,6,2,2,20.0,95.38
9071.0,3.9,79.0,3,5.0,Design,Canada,4.0,Canada,3.9,160,113.3875,1,2,2,0,2,15.0,50.46
40476.0,2.7,5.0,10,2.0,Web Development,Australia,20.0,Bangladesh,4.5,130,6746.0,4,0,1,2,3,20.0,43.8
38544.0,3.0,36.0,9,3.0,Writing,UK,35.0,Australia,2.6,147,1041.7297297297298,5,8,0,2,3,27.0,47.84
49716.0,1.4,84.0,2,6.0,Data Science,UK,59.0,USA,3.8,387,584.8941176470588,0,8,8,1,0,12.0,118.22
49484.0,4.0,3.0,0,6.0,Writing,Canada,85.0,Pakistan,3.9,81,12371.0,5,2,5,0,0,0.0,25.86
41274.0,4.3,97.0,11,7.0,Writing,USA,45.0,UK,2.2,391,421.16326530612247,5,9,7,0,1,77.0,121.47999999999999
3068.0,3.8,91.0,14,9.0,Marketing,UAE,14.0,Australia,4.9,469,33.34782608695652,2,7,0,0,1,126.0,146.85999999999999
2527.0,4.9,37.0,14,4.0,Mobile App,Germany,22.0,India,4.5,360,66.5,3,4,3,0,1,56.0,114.0
3195.0,4.3,40.0,13,5.0,Marketing,Canada,48.0,Ukraine,2.2,341,77.92682926829268,2,2,9,0,1,65.0,107.08
48690.0,4.6,91.0,6,2.0,Marketing,USA,30.0,Canada,3.7,82,529.2391304347826,2,9,2,0,3,12.0,27.88
5758.0,4.7,80.0,16,6.0,Design,Canada,29.0,Pakistan,3.9,411,71.08641975308642,1,2,5,0,1,96.0,129.66
22502.0,3.0,13.0,18,4.0,Writing,USA,36.0,USA,2.7,449,1607.2857142857142,5,9,8,2,1,72.0,141.17999999999998
40004.0,3.7,70.0,6,5.0,Mobile App,Canada,42.0,Nigeria,4.5,72,563.4366197183099,3,2,4,0,3,30.0,25.199999999999996
33659.0,1.0,85.0,2,7.0,Data Science,Australia,29.0,USA,3.8,354,391.3837209302326,0,0,8,1,0,14.0,108.32000000000001
14486.0,2.9,50.0,2,6.0,Data Science,Germany,7.0,UK,3.6,213,284.03921568627453,0,4,7,2,0,12.0,65.94
13166.0,3.3,64.0,17,8.0,Mobile App,France,32.0,USA,1.9,25,202.55384615384617,3,3,8,2,1,136.0,13.36
39160.0,2.2,92.0,19,6.0,Writing,France,13.0,Ukraine,2.6,289,421.0752688172043,5,3,9,2,1,114.0,93.44
4061.0,2.3,51.0,13,8.0,Writing,Singapore,13.0,Australia,2.7,70,78.09615384615384,5,6,0,2,1,104.0,25.98
27354.0,4.8,94.0,2,4.0,Design,UAE,54.0,UK,3.9,349,287.93684210526317,1,7,7,0,0,8.0,106.86
39452.0,4.6,29.0,6,7.0,Design,Australia,14.0,Philippines,3.5,176,1315.0666666666666,1,0,6,0,3,42.0,56.0
23162.0,4.4,56.0,6,3.0,Marketing,Germany,6.0,Ukraine,1.3,88,406.35087719298247,2,4,9,0,3,18.0,28.72
8892.0,2.6,78.0,4,1.0,Data Science,USA,16.0,Nigeria,2.2,176,112.55696202531645,0,9,4,2,2,4.0,54.879999999999995
31035.0,1.1,81.0,2,9.0,Design,UAE,46.0,India,2.9,456,378.4756097560976,1,7,3,1,0,18.0,138.55999999999997
13567.0,1.3,98.0,17,9.0,Mobile App,Germany,52.0,Canada,3.9,26,137.04040404040404,3,4,2,1,1,153.0,14.46
48533.0,2.2,29.0,14,6.0,Data Science,UK,85.0,USA,4.0,448,1617.7666666666667,0,8,8,2,1,84.0,140.20000000000002
24099.0,1.1,97.0,19,2.0,Writing,UAE,16.0,Ukraine,3.0,288,245.90816326530611,5,7,9,1,1,38.0,93.3
35722.0,1.1,41.0,13,8.0,Data Science,Australia,5.0,Pakistan,1.5,327,850.5238095238095,0,0,5,1,1,104.0,102.6
12337.0,4.7,10.0,3,6.0,Web Development,Singapore,24.0,India,2.2,304,1121.5454545454545,4,6,3,0,2,18.0,92.98
14539.0,3.8,26.0,7,7.0,Data Science,Australia,43.0,Philippines,2.0,62,538.4814814814815,0,0,6,0,3,49.0,21.5
31318.0,2.2,23.0,12,1.0,Design,USA,65.0,India,4.1,415,1304.9166666666667,1,9,3,2,1,12.0,129.74
19615.0,1.5,98.0,7,3.0,Mobile App,France,10.0,Australia,1.7,487,198.13131313131314,3,3,0,1,3,21.0,148.88
11465.0,3.0,38.0,14,1.0,Writing,Brazil,59.0,India,2.9,18,293.97435897435895,5,1,3,2,1,14.0,10.76
25038.0,1.0,71.0,16,1.0,Writing,India,35.0,Philippines,3.7,483,347.75,5,5,6,1,1,16.0,151.18
43030.0,4.8,17.0,4,1.0,Design,Brazil,31.0,Pakistan,4.9,433,2390.5555555555557,1,1,5,0,2,4.0,133.06
5556.0,2.7,76.0,19,4.0,Design,India,79.0,Bangladesh,5.0,492,72.15584415584415,1,5,1,2,1,76.0,155.29999999999998
32982.0,2.6,44.0,3,7.0,Design,Australia,11.0,Bangladesh,4.8,277,732.9333333333333,1,0,1,2,2,21.0,85.91999999999999
48216.0,2.6,87.0,10,7.0,Web Development,Germany,9.0,Nigeria,3.9,486,547.9090909090909,4,4,4,2,3,70.0,150.35999999999999
8610.0,1.3,86.0,17,5.0,Mobile App,USA,66.0,Bangladesh,4.0,345,98.96551724137932,3,9,1,1,1,85.0,110.2
14273.0,3.6,11.0,9,6.0,Web Development,Canada,44.0,UK,4.0,66,1189.4166666666667,4,2,7,0,3,54.0,24.1
27766.0,3.9,48.0,16,2.0,Design,France,16.0,Philippines,4.5,237,566.6530612244898,1,3,6,0,1,32.0,77.69999999999999
17912.0,3.0,93.0,14,5.0,Mobile App,UAE,48.0,USA,4.8,136,190.5531914893617,3,7,8,2,1,70.0,46.919999999999995
33770.0,1.6,30.0,5,7.0,Design,Singapore,53.0,Ukraine,2.8,162,1089.3548387096773,1,6,9,1,2,35.0,51.22
7410.0,3.3,91.0,15,9.0,Mobile App,USA,65.0,Australia,2.7,326,80.54347826086956,3,9,0,2,1,135.0,103.38
45953.0,3.3,21.0,14,6.0,Writing,Australia,48.0,Ukraine,2.8,334,2088.7727272727275,5,0,9,2,1,84.0,105.52000000000001
25946.0,4.5,43.0,7,4.0,Web Development,UK,70.0,Ukraine,3.6,387,589.6818181818181,4,8,9,0,3,28.0,119.64
706.0,2.5,91.0,8,3.0,Marketing,UK,46.0,Australia,4.1,292,7.673913043478261,2,8,0,2,3,24.0,91.64
22018.0,2.5,63.0,10,9.0,Design,USA,75.0,Australia,4.5,27,344.03125,1,9,0,2,3,90.0,12.899999999999999
22861.0,3.5,76.0,1,7.0,Design,India,33.0,India,2.8,255,296.8961038961039,1,5,3,2,0,7.0,77.92
23919.0,3.5,24.0,12,6.0,Data Science,UK,52.0,Philippines,2.5,392,956.76,0,8,6,2,1,72.0,122.19999999999999
49202.0,2.9,50.0,3,7.0,Marketing,Australia,81.0,Pakistan,4.9,290,964.7450980392157,2,0,5,2,2,21.0,89.86
42023.0,2.8,6.0,8,8.0,Writing,Singapore,55.0,USA,1.9,111,6003.285714285715,5,6,8,2,3,64.0,36.459999999999994
45651.0,3.0,5.0,4,5.0,Design,Canada,51.0,Pakistan,1.9,239,7608.5,1,2,5,2,2,20.0,73.66
22903.0,4.4,23.0,18,3.0,Web Development,UAE,40.0,Canada,3.9,242,954.2916666666666,4,7,2,0,1,54.0,79.55999999999999
18641.0,2.8,18.0,2,3.0,Writing,Brazil,25.0,Nigeria,1.7,152,981.1052631578947,5,1,4,2,0,6.0,46.88
15320.0,4.8,82.0,2,2.0,Design,Germany,63.0,Canada,2.6,264,184.57831325301206,1,4,2,0,0,4.0,80.84
40842.0,3.0,99.0,5,8.0,Web Development,Brazil,22.0,Nigeria,2.2,444,408.42,4,1,4,2,2,40.0,135.57999999999998
6874.0,4.8,8.0,9,1.0,Data Science,India,38.0,India,1.7,51,763.7777777777778,0,5,3,0,3,9.0,18.68
2178.0,4.3,35.0,4,5.0,Data Science,UK,9.0,Bangladesh,3.3,480,60.5,0,8,1,0,2,20.0,146.52
34327.0,2.4,39.0,2,3.0,Web Development,Canada,37.0,Ukraine,2.5,400,858.175,4,2,9,2,0,6.0,121.6
16698.0,3.0,92.0,6,9.0,Writing,UAE,5.0,Nigeria,2.8,459,179.5483870967742,5,7,4,2,3,54.0,140.61999999999998
10414.0,1.4,23.0,17,2.0,Web Development,Singapore,82.0,Nigeria,1.8,264,433.9166666666667,4,6,4,1,1,34.0,85.02
28390.0,4.7,47.0,7,9.0,Marketing,France,22.0,Philippines,4.1,53,591.4583333333334,2,3,6,0,3,63.0,19.64
22799.0,3.5,62.0,0,6.0,Web Development,USA,12.0,Bangladesh,2.3,132,361.8888888888889,4,9,1,2,0,0.0,40.52
74910.125,1.2,68.0,3,5.0,Data Science,Germany,60.0,USA,2.4,190,1085.6539855072465,0,4,8,1,2,15.0,58.86
44189.0,3.6,52.0,6,5.0,Data Science,France,44.0,Ukraine,2.0,123,833.7547169811321,0,3,9,0,3,30.0,39.5
43057.0,4.9,53.0,13,9.0,Data Science,Germany,22.0,Philippines,2.7,430,797.3518518518518,0,4,6,0,1,117.0,133.98
49580.0,1.3,41.0,12,6.0,Marketing,Brazil,6.0,Australia,2.9,217,1180.4761904761904,2,1,0,1,1,72.0,69.86
44520.0,3.2,44.0,9,7.0,Design,UK,27.0,Pakistan,3.1,364,989.3333333333334,1,8,5,2,3,63.0,113.14
3193.0,4.0,89.0,17,4.0,Marketing,Singapore,55.0,Bangladesh,4.9,402,35.477777777777774,2,6,1,0,1,68.0,127.66
29967.0,4.2,13.0,0,1.0,Design,Canada,15.0,UK,4.6,482,2140.5,1,2,7,0,0,0.0,146.44
30223.0,2.7,28.0,3,5.0,Marketing,Germany,64.0,Australia,3.4,321,1042.1724137931035,2,4,0,2,2,15.0,98.56
47199.0,1.8,5.0,15,2.0,Mobile App,Germany,17.0,Ukraine,1.2,300,7866.5,3,4,9,1,1,30.0,94.98
4127.0,1.2,6.0,15,8.0,Design,UAE,3.0,Australia,3.4,70,589.5714285714286,1,7,0,1,1,120.0,26.86
26439.0,3.3,36.0,17,4.0,Writing,Australia,10.0,Bangladesh,1.4,456,714.5675675675676,5,0,1,2,1,68.0,142.45999999999998
49425.0,2.8,52.0,7,1.0,Writing,Germany,63.0,Australia,3.8,213,932.5471698113207,5,4,0,2,3,7.0,67.52
43441.0,4.8,17.0,9,7.0,Data Science,USA,63.0,Australia,2.6,361,2413.3888888888887,0,9,0,0,3,63.0,112.03999999999999
22334.0,1.2,86.0,15,2.0,Marketing,Singapore,89.0,Bangladesh,4.4,32,256.71264367816093,2,6,1,1,1,30.0,15.86
18547.0,3.7,37.0,10,5.0,Web Development,Singapore,62.0,Nigeria,4.8,373,488.07894736842104,4,6,4,0,3,50.0,116.82
26605.0,1.1,58.0,5,9.0,Data Science,France,85.0,UK,2.7,335,450.93220338983053,0,3,7,1,2,45.0,103.08
10730.0,1.7,0.0,0,9.0,Web Development,USA,9.0,Philippines,2.8,170,10730.0,4,9,6,1,0,0.0,52.12
16207.0,2.8,67.0,11,2.0,Marketing,Canada,24.0,Canada,3.4,343,238.33823529411765,2,2,2,2,1,22.0,107.55999999999999
22476.0,2.8,43.0,5,3.0,Data Science,India,32.0,Australia,1.8,455,510.8181818181818,0,5,0,2,2,15.0,138.72
44762.0,3.7,46.0,12,9.0,Data Science,Australia,3.0,USA,4.7,349,952.3829787234042,0,0,8,0,1,108.0,110.18
24276.0,4.6,34.0,16,1.0,Writing,India,33.0,Canada,2.7,409,693.6,5,5,2,0,1,16.0,128.57999999999998
30580.0,3.6,86.0,0,2.0,Web Development,France,43.0,UK,1.7,300,351.4942528735632,4,3,7,0,0,0.0,90.68
1806.0,4.8,90.0,7,2.0,Mobile App,Singapore,12.0,Bangladesh,4.1,495,19.846153846153847,3,6,1,0,3,14.0,152.24
7276.0,4.5,59.0,7,3.0,Mobile App,USA,85.0,Philippines,1.9,290,121.26666666666667,3,9,6,0,3,21.0,89.86
27751.0,3.0,89.0,10,3.0,Data Science,India,32.0,Pakistan,1.6,236,308.34444444444443,0,5,5,2,3,30.0,74.44
9974.0,4.3,51.0,13,2.0,Marketing,Canada,20.0,USA,3.3,336,191.80769230769232,2,2,8,0,1,26.0,106.02
40794.0,3.6,7.0,9,8.0,Data Science,Canada,67.0,Ukraine,3.7,436,5099.25,0,2,9,0,3,72.0,134.98
22459.0,1.3,79.0,14,8.0,Writing,UK,68.0,Nigeria,3.3,101,280.7375,5,8,4,1,1,112.0,35.82
6030.0,4.0,40.0,6,8.0,Web Development,Germany,17.0,USA,3.6,9,147.0731707317073,4,4,8,0,3,48.0,5.9399999999999995
29820.0,1.4,2.0,6,2.0,Data Science,Germany,81.0,India,1.5,40,9940.0,0,4,3,1,3,12.0,14.4
4248.0,3.4,95.0,9,9.0,Marketing,Canada,19.0,Philippines,2.9,369,44.25,2,2,6,2,3,81.0,114.56
32468.0,3.8,68.0,3,7.0,Mobile App,USA,4.0,UK,2.4,125,470.5507246376812,3,9,7,0,2,21.0,39.36
33062.0,1.3,83.0,17,5.0,Web Development,France,17.0,Pakistan,4.9,272,393.5952380952381,4,3,5,1,1,85.0,88.66
14045.0,1.9,13.0,9,7.0,Data Science,UK,64.0,Ukraine,1.2,382,1003.2142857142857,0,8,9,1,3,63.0,117.78
1163.0,4.7,95.0,18,8.0,Web Development,UAE,22.0,Ukraine,2.2,326,12.114583333333334,4,7,9,0,1,144.0,104.08
35266.0,3.5,25.0,13,9.0,Writing,Canada,66.0,Bangladesh,4.8,449,1356.3846153846155,5,2,1,2,1,117.0,140.51999999999998
8494.0,2.0,69.0,12,2.0,Mobile App,USA,42.0,Bangladesh,4.9,10,121.34285714285714,3,9,1,1,1,24.0,8.559999999999999
28521.0,3.8,57.0,14,6.0,Marketing,Brazil,76.0,Ukraine,4.3,318,491.7413793103448,2,1,9,0,1,84.0,101.32
30803.0,3.4,99.0,15,9.0,Web Development,Singapore,45.0,Pakistan,1.3,497,308.03,4,6,5,2,1,135.0,154.12
3804.0,3.0,39.0,1,6.0,Mobile App,India,11.0,Pakistan,3.2,194,95.1,3,5,5,2,0,6.0,59.779999999999994
47076.0,4.9,50.0,3,2.0,Data Science,USA,53.0,Canada,2.6,429,923.0588235294117,0,9,2,0,2,6.0,130.64
39853.0,3.7,4.0,17,1.0,Marketing,Brazil,60.0,UK,4.2,19,7970.6,2,1,7,0,1,17.0,12.48
18175.0,2.5,76.0,16,3.0,Marketing,Germany,29.0,India,1.2,396,236.03896103896105,2,4,3,2,1,48.0,124.08
44917.0,4.2,31.0,9,5.0,Design,Brazil,20.0,Nigeria,1.8,470,1403.65625,1,1,4,0,3,45.0,144.42
